Handle,Title,Recommendable (product.metafields.calculator.recommendable),System Type (product.metafields.calculator.system_type),Zone Count (product.metafields.calculator.zone_count),Unit Type (product.metafields.calculator.unit_type),Series (product.metafields.calculator.series),Nominal BTU (product.metafields.calculator.nominal_btu),Outdoor Capacity BTU (product.metafields.calculator.outdoor_capacity_btu),Head Configuration (product.metafields.calculator.head_configuration),Head Vector Key (product.metafields.calculator.head_vector_key),Connected Head Total BTU (product.metafields.calculator.connected_head_total_btu),Connected Capacity Ratio (product.metafields.calculator.connected_capacity_ratio),Climate Min F (product.metafields.calculator.climate_min_f),Climate Max F (product.metafields.calculator.climate_max_f),Climate Tier (product.metafields.calculator.climate_tier),SEER2 (product.metafields.calculator.seer2),Refrigerant (product.metafields.calculator.refrigerant),Merchandising Priority (product.metafields.calculator.merchandising_priority),Data Quality Score (product.metafields.calculator.data_quality_score),Voltage Policy (product.metafields.calculator.voltage_policy),Heating Sizing Supported (product.metafields.calculator.heating_sizing_supported)
della-55000-btu-tri-zone-ceiling-cassette-mini-split-ac-16k-16k-16k-up-to-3000-sq-ft,DELLA 55000 BTU Tri-Zone Ceiling Cassette Mini Split AC (16K+16K+16K) - Up to 3000 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,55000,55000,16K+16K+16K,16000-16000-16000,48000,0.8727,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-ceiling-cassette-mini-split-ac-16k-16k-23k-up-to-3500-sq-ft,DELLA 55000 BTU Tri-Zone Ceiling Cassette Mini Split AC (16K+16K+23K) - Up to 3500 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,55000,55000,16K+16K+23K,16000-16000-23000,55000,1.0,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-ceiling-cassette-mini-split-ac-9-5k-16k-23k-up-to-2900-sq-ft,DELLA 55000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9.5K+16K+23K) - Up to 2900 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,55000,55000,9.5K+16K+23K,9500-16000-23000,48500,0.8818,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-ceiling-cassette-mini-split-ac-9-5k-23k-23k-up-to-3400-sq-ft,DELLA 55000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9.5K+23K+23K) - Up to 3400 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,55000,55000,9.5K+23K+23K,9500-23000-23000,55500,1.0091,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-11k-17k-22k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (11K+17K+22K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,11K+17K+22K,11000-17000-22000,50000,0.9091,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-11k-22k-22k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (11K+22K+22K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,11K+22K+22K,11000-22000-22000,55000,1.0,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-17k-17k-17k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (17K+17K+17K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,17K+17K+17K,17000-17000-17000,51000,0.9273,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-17k-17k-22k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (17K+17K+22K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,17K+17K+22K,17000-17000-22000,56000,1.0182,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-17k-22k-22k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (17K+22K+22K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,17K+22K+22K,17000-22000-22000,61000,1.1091,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-55000-btu-tri-zone-concealed-ducted-mini-split-heat-pump-ac-9-5k-22k-22k,DELLA 55000 BTU Tri-Zone Concealed Ducted Mini Split Heat Pump AC (9.5K+22K+22K),TRUE,multi_zone,3,concealed_ducted,Concealed Ducted,55000,55000,9.5K+22K+22K,9500-22000-22000,53500,0.9727,-13,131,cold,,R454B,50,100,check_product_page,FALSE
della-9-500-btu-seer2-23-ceiling-cassette-ductless-mini-split-ac-up-to-400-sq-ft,"DELLA 9,500 BTU 23 SEER2 Ceiling Cassette Ductless Mini Split AC - Up to 400 Sq.Ft.",TRUE,single_zone,1,ceiling_cassette,Ceiling Cassette,9500,9500,,9500,,,-13,131,cold,23.0,R454B,50,100,check_product_page,FALSE
della-9500-btu-19-6-seer2-concealed-ducted-mini-split-air-conditioner,DELLA 9500 BTU 19.6 SEER2 Concealed Ducted Mini Split Air Conditioner,TRUE,single_zone,1,concealed_ducted,Concealed Ducted,9500,9500,,9500,,,-13,131,cold,19.6,R454B,50,100,check_product_page,FALSE
della-econo-series-35000-btu-17-seer2-mini-split-heat-pump-ac-up-to-2500-sq-ft,DELLA Econo Series 35000 BTU 17 SEER2 Mini Split Heat Pump AC - Up to 2500 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Econo,35000,35000,,35000,,,5,122,mild,17.0,R32,50,100,check_product_page,FALSE
della-motto-series-12000-btu-19-seer2-mini-split-heat-pump-ac-up-to-550-sq-ft,DELLA Motto Series 12000 BTU 19 SEER2 Mini Split Heat Pump AC – Up to 550 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Motto,12000,12000,,12000,,,5,118,mild,19.0,R32,50,100,check_product_page,FALSE
